Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"165961869022",Breitling Aviator 8 B01 Curtis Warhawk 43mm AB01192A1L1A1 Stainless  Watch,,11501,"1","FIXED_PRICE","USD",6513.0,,,6513.0,"0","4","0","Feb-28-23 12:39:53 PST","Aug-28-26 12:39:53 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"186047079907",Hublot Classic Fusion Chronograph 42mm 541.NX.7170.LR Titanium Men's Watch,,12318,"1","FIXED_PRICE","USD",8231.0,,,8231.0,"0","2","0","Aug-23-23 10:21:55 PDT","Aug-23-26 10:21:55 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"167357101406",Hermes Arceau 38mm AR7.C93 18K White Gold Unisex Watch,,14927,"1","FIXED_PRICE","USD",29655.0,,,29655.0,"0","7","0","Mar-05-25 09:20:03 PST","Aug-05-26 09:20:03 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"156791833761",Hermes Cape Cod 37mm CC3.771 18K Rose Gold Women's Watch,,14972,"1","FIXED_PRICE","USD",15235.0,,,15235.0,"0","8","0","Mar-13-25 07:27:20 PDT","Aug-13-26 07:27:20 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"167435437764",Hublot Big Bang 38mm 361.CM.7170.LR.1204 Stainless Steel Unisex Watch,,15191,"1","FIXED_PRICE","USD",8025.0,,,8025.0,"0","3","0","Apr-07-25 08:09:04 PDT","Aug-07-26 08:09:04 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"156946566518",Hermes Galop d'Hermès 32mm GA!.171 18K Rose Gold Women's Watch,,15268,"1","FIXED_PRICE","USD",11800.0,,,11800.0,"0","8","0","May-01-25 14:32:06 PDT","Sep-01-26 14:32:06 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"187619570692",Cartier Baignoire 33x44mm WB520009 18K White Gold Women's Watch,,16607,"1","FIXED_PRICE","USD",21930.0,,,21930.0,"0","3","0","Oct-03-25 08:14:20 PDT","Sep-03-26 08:14:20 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157408229153",Hermes Arceau 38mm AR7.C93 18K White Gold Unisex Watch,,15439,"1","FIXED_PRICE","USD",19355.0,,,19355.0,"0","4","0","Oct-21-25 13:39:59 PDT","Aug-21-26 13:39:59 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157408258510",Cartier Baignoire 33x44mm WB520009 18K White Gold Women's Watch,,16607,"1","FIXED_PRICE","USD",21930.0,,,21930.0,"0","1","","Oct-21-25 14:06:41 PDT","Aug-21-26 14:06:41 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"187760269727",Hublot Big Bang Snow Leopard 41mm 341.SX.7717.NR.1977 Stainless Unisex Watch,,16899,"1","FIXED_PRICE","USD",13175.0,,,13175.0,"0","1","0","Nov-20-25 09:31:47 PST","Aug-20-26 09:31:47 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"167947317803",Piaget $20 Double Eagle Coin 34.5mm Vintage 18K Yellow Gold Men's Watch,,16917,"1","FIXED_PRICE","USD",10497.0,,,10497.0,"0","35","0","Nov-21-25 09:32:22 PST","Aug-21-26 09:32:22 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168023435333",Hermes Heure H  17.2mm W054799WW00  18K Rose Gold Women's Watch,,17104,"1","FIXED_PRICE","USD",12000.0,,,12000.0,"0","","","Dec-22-25 10:18:57 PST","Aug-22-26 10:18:57 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168023438951",Hermes Vintage 18mm Me2.171 18K Rose Gold Women's Watch,,16991,"1","FIXED_PRICE","USD",16295.0,,,16295.0,"0","4","0","Dec-22-25 10:21:35 PST","Aug-22-26 10:21:35 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"187869461885",Hermes Heure 21.5x30mm HH4.273 18K Rose Gold Women's Watch,,16977,"1","FIXED_PRICE","USD",13000.0,,,13000.0,"0","","","Dec-22-25 10:22:11 PST","Aug-22-26 10:22:11 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"187869462593",Hermes Heure H 30x35mm HH1.571e 18K Rose Gold Women's Watch,,16972,"1","FIXED_PRICE","USD",10085.0,,,10085.0,"0","4","0","Dec-22-25 10:22:34 PST","Aug-22-26 10:22:34 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168087742969",Cartier Ballon Bleu 36mm WE900651 18K White Gold Women's Watch,,17140,"1","FIXED_PRICE","USD",15235.0,,,15235.0,"0","","","Jan-16-26 10:22:18 PST","Aug-16-26 10:22:18 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188018859194",Panerai Luminor Marina 44mm PAM01058 Stainless Steel Men's Watch,,17302,"1","FIXED_PRICE","USD",7655.0,,,7655.0,"0","5","0","Feb-02-26 08:34:44 PST","Sep-02-26 08:34:44 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188018859365",Cartier Ballon Bleu 42mm WE9009Z3 18K White Gold Unisex Watch,,17305,"1","FIXED_PRICE","USD",30170.0,,,30170.0,"0","2","0","Feb-02-26 08:35:08 PST","Sep-02-26 08:35:08 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157657118544",Zenith Grande Class 44mm 18.0520.679 18K Rose Gold Men's Watch,,17308,"1","FIXED_PRICE","USD",15235.0,,,15235.0,"0","2","0","Feb-03-26 07:08:47 PST","Sep-03-26 07:08:47 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188029269791",Cartier Captive 35mm WG600012 18K White Gold Women's Watch,,17337,"1","FIXED_PRICE","USD",17295.0,,,17295.0,"0","","","Feb-05-26 10:46:56 PST","Aug-05-26 10:46:56 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188029270278",Cartier Panthere 27mmx37mm WSPN0007 Stainless Steel Women's Watch,,17343,"1","FIXED_PRICE","USD",7855.0,,,7855.0,"0","3","0","Feb-05-26 10:47:39 PST","Aug-05-26 10:47:39 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157662021307",Cartier Ballon Bleu 37mm WJBB0028 18K White Gold Women's Watch,,17371,"1","FIXED_PRICE","USD",16265.0,,,16265.0,"0","4","0","Feb-05-26 10:51:16 PST","Aug-05-26 10:51:16 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157662022197",Cartier Baignoire 33x44mm WB520009 18K White Gold Women's Watch,,17379,"1","FIXED_PRICE","USD",22960.0,,,22960.0,"0","1","0","Feb-05-26 10:52:12 PST","Aug-05-26 10:52:12 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188029292209",Cartier Captive 27mm  WG600008 18K White Gold Women's Watch,,17382,"1","FIXED_PRICE","USD",10806.0,,,10806.0,"0","1","0","Feb-05-26 10:52:34 PST","Aug-05-26 10:52:34 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168137509852",Hermes Faubourg 15.5mm  W049098WW00 18K Rose Gold Women's Watch,,17383,"1","FIXED_PRICE","USD",12145.0,,,12145.0,"0","5","0","Feb-05-26 10:52:44 PST","Aug-05-26 10:52:44 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188029292770",Hermes Faubourg 15.5mm  W049098WW00 18K Rose Gold Women's Watch,,17388,"1","FIXED_PRICE","USD",13175.0,,,13175.0,"0","3","0","Feb-05-26 10:53:13 PST","Aug-05-26 10:53:13 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168147412275",Patek Philippe Calatrava 35.5mm 3588/7G 18K White Gold Women's Watch,,17397,"1","FIXED_PRICE","USD",28934.0,,,28934.0,"0","4","0","Feb-09-26 07:21:21 PST","Aug-09-26 07:21:21 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157737438835",Hermes Arceau Harnais Français Remix 38mm 052811WW00 18K White Gold Watch,,17588,"1","FIXED_PRICE","USD",27595.0,,,27595.0,"0","8","0","Mar-09-26 08:22:42 PDT","Aug-09-26 08:22:42 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168220941159",Cartier Baignoire 44x34mm WB520003 18K Rose Gold Women's Watch,,17565,"1","FIXED_PRICE","USD",44590.0,,,44590.0,"0","4","0","Mar-10-26 07:46:12 PDT","Aug-10-26 07:46:12 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157739887612",Cartier Captive 35mm WG600012 18K White Gold Women's Watch,,17496,"1","FIXED_PRICE","USD",15750.0,,,15750.0,"0","2","0","Mar-10-26 08:21:43 PDT","Aug-10-26 08:21:43 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168220996928",Jaeger-LeCoultre Reverso Memory 23x39mm 255.8.82  Stainless Steel Men's Watch,,17483,"1","FIXED_PRICE","USD",8334.0,,,8334.0,"0","11","0","Mar-10-26 08:23:52 PDT","Aug-10-26 08:23:52 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157745619041",Van Cleef and Arpels Arceau H 21mm AR6.173 18K Rose Gold Women's Watch,,17647,"1","FIXED_PRICE","USD",9570.0,,,9570.0,"0","2","0","Mar-12-26 06:53:34 PDT","Aug-12-26 06:53:34 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188150785094",Cartier Tank Louis XL 39.2mmx30.0mm W1560003 18K Rose Gold Men's Watch,,17663,"1","FIXED_PRICE","USD",15235.0,,,15235.0,"0","10","0","Mar-12-26 09:23:24 PDT","Aug-12-26 09:23:24 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168230085139",Hermes Kelly 17mm KE4.171 18K Rose Gold Women's Watch,,17680,"1","FIXED_PRICE","USD",25535.0,,,25535.0,"0","1","0","Mar-13-26 08:03:35 PDT","Aug-13-26 08:03:35 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188169370615",Hermes Heure H 21x30mm HH4.272 18K Rose Gold Women's Watch,,17665,"1","FIXED_PRICE","USD",10394.0,,,10394.0,"0","1","0","Mar-16-26 07:15:54 PDT","Aug-16-26 07:15:54 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157760178827",Franck Muller Master of Complications 32x40mm 6002 M QZ 18K White Gold Watch,,17695,"1","FIXED_PRICE","USD",10600.0,,,10600.0,"0","","","Mar-16-26 10:00:01 PDT","Aug-16-26 10:00:01 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157760179959",Corum Coin 35mm  18K Yellow Gold Men's Watch,,17697,"1","FIXED_PRICE","USD",10085.0,,,10085.0,"0","1","0","Mar-16-26 10:00:42 PDT","Aug-16-26 10:00:42 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188203948586",Omega Speedmaster Moonphase 44.25mm 304.33.44.52.03.001 Stainless  Watch,,17737,"1","FIXED_PRICE","USD",8540.0,,,8540.0,"0","3","0","Mar-24-26 09:50:14 PDT","Aug-24-26 09:50:14 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168264757800",Patek Philippe Calatrava 31mm 7120G-001 18K White Gold Women's Watch,,17756,"1","FIXED_PRICE","USD",16265.0,,,16265.0,"0","4","0","Mar-26-26 10:58:12 PDT","Aug-26-26 10:58:12 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168279303528",Cartier Tankissime  W650037h 18K Yellow Gold Women's Watch,,17768,"1","FIXED_PRICE","USD",19870.0,,,19870.0,"0","2","0","Apr-01-26 09:47:05 PDT","Sep-01-26 09:47:05 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188254416660",Cartier Captive 50mm WG600004 18K White Gold Women's Watch,,17816,"1","FIXED_PRICE","USD",27595.0,,,27595.0,"0","2","0","Apr-07-26 12:18:54 PDT","Aug-07-26 12:18:54 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188263304773",Cartier Ronde Louis 42mm WR007001 18K Rose Gold Unisex Watch,,17778,"1","FIXED_PRICE","USD",15235.0,,,15235.0,"0","2","0","Apr-10-26 06:33:01 PDT","Aug-10-26 06:33:01 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188285228122",Cartier Tonneau  26.5x46.6mm WE400451 18K Rose Gold Women's Watch,,17852,"1","FIXED_PRICE","USD",29140.0,,,29140.0,"0","3","0","Apr-16-26 13:50:43 PDT","Aug-16-26 13:50:43 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157870996670",Hublot Bing Bang 38mm 361.pr.2010.lr.1913 18K Rose Gold Men's Watch,,17930,"1","FIXED_PRICE","USD",16265.0,,,16265.0,"0","1","0","Apr-29-26 13:04:23 PDT","Aug-29-26 13:04:23 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168343090190",Tudor Submariner 39mm 7021/0 Stainless Steel Men's Watch,,17931,"1","FIXED_PRICE","USD",16265.0,,,16265.0,"0","4","0","Apr-30-26 06:46:53 PDT","Aug-30-26 06:46:53 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157873946707",Omega Seamaster Diver 42mm 210.30.42.20.03.002 Stainless Steel Men's Watch,,17948,"1","FIXED_PRICE","USD",9570.0,,,9570.0,"0","","","Apr-30-26 13:50:32 PDT","Aug-30-26 13:50:32 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157884464811",Bulgari/Bvlgari Classic  30mm BB 30 GL 18K Yellow Gold Women's Watch,,17983,"1","FIXED_PRICE","USD",5512.0,,,5512.0,"0","2","0","May-04-26 12:26:47 PDT","Aug-04-26 12:26:47 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188352031320",Cartier Dumont 32x38mm W2009251 18K Rose Gold Unisex Watch,,18037,"1","FIXED_PRICE","USD",9467.0,,,9467.0,"0","","","May-05-26 12:45:27 PDT","Aug-05-26 12:45:27 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168355523094",Patek Philippe Calatrava 31mm 7120G-001 18K White Gold Women's Watch,,18010,"1","FIXED_PRICE","USD",16780.0,,,16780.0,"0","2","0","May-05-26 12:50:14 PDT","Aug-05-26 12:50:14 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157887327793",Cartier Ronde Louis 42mm WR007001 18K Rose Gold Unisex Watch,,18047,"1","FIXED_PRICE","USD",15235.0,,,15235.0,"0","","","May-05-26 13:29:11 PDT","Aug-05-26 13:29:11 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157889894168",Bulgari/Bvlgari Astrale Cerchi  36mm AE36D2CBL 18K Yellow Gold Women's Watch,,18074,"1","FIXED_PRICE","USD",19355.0,,,19355.0,"0","0","0","May-06-26 11:30:00 PDT","Aug-06-26 11:30:00 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168375791050",Harry Winston Ocean Bi-Retro Day-Date 38mm 400/UAB136W 18K White Gold Watch,,18105,"1","FIXED_PRICE","USD",19355.0,,,19355.0,"0","1","0","May-14-26 13:42:30 PDT","Aug-14-26 13:42:30 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"188383405239",Cartier Baignoire 44x34mm W8000021 18K Rose Gold Women's Watch,,18102,"1","FIXED_PRICE","USD",21518.0,,,21518.0,"0","4","0","May-14-26 13:45:05 PDT","Aug-14-26 13:45:05 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"168377774187",Cartier Tortue 22X31mm  18K Yellow Gold Women's Watch,,18089,"1","FIXED_PRICE","USD",39440.0,,,39440.0,"0","3","0","May-15-26 09:57:40 PDT","Aug-15-26 09:57:40 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
"157923901473",Chopard  L.U.C Classic Mark III 39.5mm 168500-3001 Stainless Steel Men's Watch,,18140,"1","FIXED_PRICE","USD",6258.0,,,6258.0,"0","9","0","May-19-26 08:37:19 PDT","Aug-19-26 08:37:19 PDT","Wristwatches","31387","","","Pre-owned - Good","","","","","","US","","",""
