id,title,description,link,image_link,availability,expiration_date,price,google_product_category,brand,MPN,identifier_exists,condition,age_group,color,gender,material,shipping,tax
3451,"Rolex Sea-Dweller 40mm 16600 Stainless Steel Mens Watch","Pre-owned Men's Rolex Sea-Dweller 40mm 16600 oyster strap, stainless steel bezel, on black face. 3451",https://swissmadecorp.com/product-details/rolex-sea-dweller-16600-black-lrzs-17249,https://swissmadecorp.com/images/rolex--16600-30131.jpg,in_stock,,"16995.00 USD",201,Rolex,16600,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
9305,"Franck Muller Vanguard Yachting 45mm 45SCYACHTBLU5N 18K Rose Gold/Stainless Steel Mens Watch","New Men's Franck Muller Vanguard Yachting 45mm 45SCYACHTBLU5N rubber strap, 18k rose gold/stainless steel bezel, on blue face watch. 9305",https://swissmadecorp.com/product-details/franck-muller-vanguard-yachting-45scyachtblu5n-blue-oigz-40193,https://swissmadecorp.com/images/franck-muller-vanguard-yachting-v-45-sc-dt-68311.jpg,in_stock,,"8034.00 USD",201,Rolex,45SCYACHTBLU5N,false,used,adult,Blue,female,"18K Rose Gold/Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
9476,"Rolex Datejust 41mm 126300 Stainless Steel Mens Watch","New / Unworn  Rolex Datejust 41mm 126300 oyster strap, stainless steel bezel, on white roman face watch.",https://swissmadecorp.com/product-details/rolex-datejust-126300-white-roman-xozs-78146,https://swissmadecorp.com/images/rolex-datejust-41mm-126300-stainless-steel-mens-watch-86459.jpg,in_stock,,"11330.00 USD",201,Rolex,126300,false,new,adult,"White Roman",female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
9734,"Franck Muller Racing 45mm 45CCBLKBLUGLD 18K Rose Gold Mens Watch","New Men's Franck Muller Racing 45mm 45CCBLKBLUGLD leather strap, 18k rose gold bezel, on gray face watch. 9734",https://swissmadecorp.com/product-details/franck-muller-racing-45ccblkblugld-gray-kiexo-42128,https://swissmadecorp.com/images/franck-muller-racing-45mm-45ccblkblugld-18k-rose-gold-mens-watch-12647.jpg,out_of_stock,2026-07-28T06:00-0400,"16604.00 USD",201,Rolex,45CCBLKBLUGLD,false,used,adult,Gray,female,"18K Rose Gold","US:NY:Overnight:79.00 USD",US:NY:8.875:n
10015,"Franck Muller Vanguard Yachting 45mm 45SCYACHTGLD 18K Rose Gold Mens Watch","New Men's Franck Muller Vanguard Yachting 45mm 45SCYACHTGLD rubber strap, 18k rose gold bezel, on black face watch. 10015",https://swissmadecorp.com/product-details/franck-muller-vanguard-yachting-45scyachtgld-black-kzixo-25863,https://swissmadecorp.com/images/franck-muller-vanguard-yachting-45mm-45scyachtgld-18k-rose-gold-mens-watch-86444.jpg,out_of_stock,2026-07-28T06:00-0400,"13257.00 USD",201,Rolex,45SCYACHTGLD,false,used,adult,Black,female,"18K Rose Gold","US:NY:Overnight:79.00 USD",US:NY:8.875:n
10131,"Rolex Explorer II 40mm 16570 Stainless Steel Mens Watch","Pre-owned Men's Rolex Explorer II 40mm 16570 oyster strap, stainless steel bezel, on black face watch. 10131",https://swissmadecorp.com/product-details/rolex-explorer-ii-16570-black-orzs-39337,https://swissmadecorp.com/images/rolex-explorer-ii-16570-73018.jpg,in_stock,,"8961.00 USD",201,Rolex,16570,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
10183,"Rolex Submariner 40mm 114060 Stainless Steel Mens Watch","New / Unworn  Rolex Submariner 40mm 114060 oyster strap, stainless steel bezel, on black face watch.",https://swissmadecorp.com/product-details/rolex-submariner-114060-black-kgzsz-90034,https://swissmadecorp.com/images/rolex-submariner-116610ln-76474.jpg,in_stock,,"16995.00 USD",201,Rolex,114060,false,new,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
10196,"Rolex GMT-MASTER II 40mm 16750 Stainless Steel Mens Watch","Pre-owned Men's Rolex GMT-MASTER II 40mm 16750 oyster strap, stainless steel bezel, on black face watch. 10196",https://swissmadecorp.com/product-details/rolex-gmt-master-ii-16750-black-krirz-56875,https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16750-stainless-steel-mens-watch-22645.jpg,in_stock,,"13905.00 USD",201,Rolex,16750,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
10327,"Rolex Oyster Perpetual 41mm 124300 Stainless Steel Mens Watch","New / Unworn  Rolex Oyster Perpetual 41mm 124300 oyster strap, stainless steel bezel, on black stick face watch.",https://swissmadecorp.com/product-details/rolex-oyster-perpetual-124300-black-stick-xrzs-26235,https://swissmadecorp.com/images/rolex-oyster-perpetual-41mm-124300-stainless-steel-mens-watch-FN7SK2ASiZ.jpg,in_stock,,"9785.00 USD",201,Rolex,124300,false,new,adult,"Black Stick",female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
10590,"Rolex Daytona 40mm 116520 Stainless Steel Mens Watch","Pre-owned  Rolex Daytona 40mm 116520 oyster strap, stainless steel bezel, on black face watch.",https://swissmadecorp.com/product-details/rolex-daytona-116520-black-inrzs-63128,https://swissmadecorp.com/images/rolex-daytona-116520-52090.jpg,in_stock,,"26780.00 USD",201,Rolex,116520,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
