"stockId","brand","modelNumber","serialNumber","condition","boxIncluded","papersIncluded","notes","wholesalePriceUSD","paperDate","dialType","braceletType","braceletLinkCount","primaryImage","image2","image3","image4","image5","enableOffers","enableOrders","minimumOffer","shippingMethod","paymentMethod"
"3451","Rolex","16600","Z630049","Pre-owned","false","false","","16500","","","Oyster","","https://swissmadecorp.com/images/rolex--16600-30131.jpg","","","","","false","false","","",""
"7484","Rolex","126610LN","7P864069","Unworn","true","true","Not for sale.","0","2020","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-submariner-126610ln-94761.jpg","","","","","false","false","","",""
"9305","Franck Muller","45SCYACHTBLU5N","358","New","true","true","","7800","","","Rubber","","https://swissmadecorp.com/images/franck-muller-vanguard-yachting-v-45-sc-dt-68311.jpg","","","","","false","false","","",""
"9476","Rolex","126300","271120G2","Unworn","true","true","","11000","2021","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-datejust-41mm-126300-stainless-steel-mens-watch-86459.jpg","","","","","false","false","","",""
"10131","Rolex","16570","A302701","Pre-owned","false","false","","8700","","","Oyster","","https://swissmadecorp.com/images/rolex-explorer-ii-16570-73018.jpg","","","","","false","false","","",""
"10183","Rolex","114060","666D4402","Unworn","true","true","","16500","","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-submariner-116610ln-76474.jpg","","","","","false","false","","",""
"10196","Rolex","16750","8384938","Pre-owned","false","true","","13500","1984","","Oyster","","https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16750-stainless-steel-mens-watch-22645.jpg","https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16750-stainless-steel-mens-watch-56891.jpg","https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16750-stainless-steel-mens-watch-50829.jpg","https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16750-stainless-steel-mens-watch-50649.jpg","","false","false","","",""
"10327","Rolex","124300","84S167P4","Unworn","true","true","","9500","2022","Roman Numerals","Oyster","","https://swissmadecorp.com/images/rolex-oyster-perpetual-41mm-124300-stainless-steel-mens-watch-FN7SK2ASiZ.jpg","","","","","false","false","","",""
"10590","Rolex","116520","3NR54594","Pre-owned","true","true","","26000","2012","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-daytona-116520-52090.jpg","","","","","false","false","","",""
"10643","Rolex","116520","12M246G8","Pre-owned","true","true","","28500","2014","","Oyster","","https://swissmadecorp.com/images/rolex-daytona-116520-52090.jpg","","","","","false","false","","",""
